id,group
1489,A
1627,B
1768,B
1783,B
1794,A
1803,A
1805,A
2067,B
2078,B
2080,B
2085,A
2213,B
2215,B
2229,A
2234,A
2264,A
2272,A
2277,B
2290,A
2385,A
2391,B
2392,A
2417,A
2419,A
2469,A
2470,B
2477,A
2480,B
2482,B
2535,A
2545,B
2729,A
2759,A
2862,B
2864,B
2866,B
2872,A
2874,A
2877,B
3185,A
3193,A
3387,A
3389,A
3391,B
3400,A
3401,B
3402,A
3409,B
3455,B
3699,A
3731,B
3733,B
3796,B
3809,B
3812,B
3820,B
4139,A
4181,A
4214,A
4268,A
4346,A
4391,A
4555,B
4558,A
4559,A
4597,B
4748,A
6009,B
6861,A
7304,B
7413,B
8086,A
10911,A
11079,B
11201,B
11671,B
12050,B
12228,A
12840,A
13647,A
13652,B
13654,B
14791,A
16807,A
17485,A
17680,A
17705,B
17706,B
17707,B
17921,A
18366,A
18786,B
18806,B
19782,B
19785,B
19919,A
19936,B
20115,A
20258,A
20472,A
20474,A
20483,B
20957,A
21629,B
21710,B
21753,A
21969,A
22152,B
22163,A
22205,A
22841,A
22929,A
22994,B
23535,B
23649,B
24121,B
24531,B
25697,A
25701,B
25795,B
25941,B
25973,B
26038,A
26244,A
26258,A
26280,A
26357,B
26359,B
26374,A
26375,B
26383,A
26409,A
26413,A
26418,A
26419,B
26420,A
26426,B
26432,B
26433,A
26434,B
26439,B
26440,A
26442,A
26443,A
26447,A
26608,A
26613,B
26621,B
26625,A
26631,A
26662,B
26663,A
26666,A
26667,A
26670,B
26677,A
26682,B
26683,B
26816,A
26899,B
26963,A
27079,B
27142,B
27283,B
27514,A
27589,B
27596,A
27729,A
27906,A
27931,B
27950,B
28105,A
28160,B
28274,A
28279,B
28282,A
28294,B
28598,A
28599,B
29021,A
29215,A
29467,A
29726,B
29881,B
30088,A
30090,B
30093,B
30095,B
30436,B
30550,A
31030,A
31117,B
95400,B
95509,B
95588,A
95595,A
96002,B
96047,B
96278,B
96377,B
96692,B
97118,A
97119,A
97341,B
97567,B
98010,A
98021,A
98027,B
98633,A
98802,A
98814,B
98895,B
99173,B
99302,A
99339,B
99561,A
99567,A
99575,B
100275,B
100283,B
100300,B
100404,B
100643,A
100645,A
100646,A
100681,A
100948,B
100951,A
100954,B
101096,B
101221,B
101225,B
101249,B
101839,A
101871,A
101881,B
101894,A
101895,A
101903,B
101927,A
101949,B
101956,B
101966,B
102142,A
102154,A
102206,B
102209,A
102215,B
102228,B
102253,B
102490,A
102498,A
102512,B
102528,A
102534,A
102540,B
102831,B
102885,B
102886,B
102887,A
102968,B
103026,B
103126,A
103151,B
103162,B
103164,B
103209,B
103211,B
103384,A
104000,A
104030,B
104044,B
104046,B
104158,B
104314,B
104407,B
104499,B
104596,B
104599,B
104610,B
104641,B
104652,A
104830,A
104943,A
105054,B
105366,A
105370,A
105393,B
105403,A
105422,B
105558,A
105560,A
105625,B
105642,A
105733,A
105831,B
105956,B
105960,A
105964,B
106210,A
106212,A
106223,B
106321,B
106324,B
106325,B
106330,B
106343,B
106620,A
106630,B
106640,A
106749,A
106837,A
106906,A
106916,B
106917,B
107048,B
107714,A
107760,A
108044,A
108237,A
108270,B
108561,B
108563,B
108630,A
